rule_id	category	from	to	count	n_chapters	n_contexts	reverse_count	witnesses	examples	status	comment
R0246	visarga	s	ḥ	9	4	5	1	H K N	SS.1.1.8.1 K «pratyekāṅgalakṣaṇasamāsas» -> «pratyekāṅgalakṣaṇasamāsaḥ» ‖ SS.1.1.8.1 H «pratyekāṅgalakṣaṇasamāsas» -> «pratyekāṅgalakṣaṇasamāsaḥ» ‖ SS.1.1.8.1 N «pratyekāṅgalakṣaṇasamāsas» -> «pratyekāṅgalakṣaṇasamāsaḥ»	proposed	
R0247	visarga	ḥ	r	4	3	3	1	H K N	SS.1.1.12 N «ta ūcuḥ» -> «ta ūcur» ‖ SS.1.16.10 N «stabdhasirātatasūkṣmapāliḥ» -> «stabdhasirātatasūkṣmapālir» ‖ SS.1.16.10 H «stabdhasirātatasūkṣmapāliḥ» -> «stabdhasirātatasūkṣmapālir»	proposed	
R0248	visarga	r	ḥ	1	1	1	4	H	SS.1.1.3 H «ūcur» -> «ūcuḥ»	proposed	
R0249	visarga	ḥ	s	1	1	1	9	H	SS.5.4.34.add-5 H «vyatirekajāḥ» -> «vyatirekajās»	proposed	
R0250	vocalic-r	ṛ	ri	2	2	2	0	H	SS.4.4.27 H «tṛvṛddantīśaṅkhinīsuvarṇṇakṣīrītriphalāviḍaṅgānām» -> «trivṛddantīśaṅkhinīsuvarṇṇakṣīrītriphalāviḍaṅgānām» ‖ SS.5.5.68 H «mānsīhareṇus tṛphalāmuruṅgī» -> «māṃsīhareṇutriphalāmuruṅgī»	proposed	
R0251	vowel-length	a	ā	15	9	12	10	H K N	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.13.20 H «ārddraplotāvacchannaṅ» -> «ārdraplotāvacchannāṅ»	proposed	
R0252	vowel-length	ā	a	10	8	9	15	H K	SS.1.14.36 K «avacūrṇṇāṅgulyagreṇāvapīḍayet | sālasarjārjunārimedagranthidhavadhanvanatvagbhi vā» -> «avacūrṇṇyāṅgulyagreṇāvapīḍayet | sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā» ‖ SS.3.2.6.3 H «pāṣāṇabheda kāśmaryāmalaka pippalī vasuka vasira siddhaṃ» -> «pāṣaṇabhedakāśmaryāmalakapippalīvasukavasirasiddhaṃ» ‖ SS.3.3.34 H «droṇīprābhūtam» -> «droṇīprabhūtam»	proposed	
R0253	vowel-length	u	ū	7	4	6	1	H K N	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.2.6 H «brūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapāruṣya paiśunyānṛtālasyāyaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.16.17 N «ruḍho» -> «'rūḍho»	proposed	
R0254	vowel-length	i 	ī	1	1	1	0	H	SS.5.3.35.1 H «garbbhiṇi kuṣṭhimehirūkṣeṣu» -> «garbhiṇīkuṣṭhimehirūkṣeṣu»	proposed	
R0255	vowel-length	ū	u	1	1	1	7	H	SS.6.17.91 H «lodhrasaindhavamṛdvīkāmadhūkair» -> «lodhrasaindhavamṛdvīkāmadhukair»	proposed	
